"ID","ADDRESS","CITY","STATE","ZIP","ListPrice","BEDS","BATHS","LOCATION","SQFT","LotSize","YearBuilt","ParkingSpots","HasGarage","DOM","LastSaleDate","SoldPrev","Realty","LATITUDE","LONGITUDE","ShortSale"
4378882,"1395 Thomas Ave","St. Paul","MN",55104,149900,3,1,"Hamline-Midway",1548,4791,1888,2,"Garage",137,20/11/2012,"Y","DeLisle Company, Inc.","44,959579","-93,159027","N"
4425306,"1400 Snelling Ave N","St. Paul","MN",55108,179900,3,"1,75","Como",1647,5227,1925,4,"Garage",89,,"N","Edina Realty, Inc.","44,98341","-93,166573","N"
4419974,"1404 Frankson Ave","St. Paul","MN",55108,294900,4,"1,5","Como",2034,10454,1932,4,"Garage",106,,"N","Edina Realty, Inc.","44,982029","-93,159378","N"
4420095,"1406 Minnehaha Ave W","St. Paul","MN",55104,149900,3,"1,5","Hamline-Midway",1800,4791,1903,2,"Garage",106,,"N","DeLisle Company, Inc.","44,962662","-93,159721","N"
4437748,"1410 25th Ave N","Minneapolis","MN",55411,139900,3,2,"Jordan",1760,14374,1960,1,"Garage",19,9/4/2008,"Y","RE/MAX Results","45,005249","-93,298431","N"
4439645,"1415 Queen Ave N","Minneapolis","MN",55411,99000,2,1,"Willard - Hay",900,,1921,2,"Garage",11,13/11/2013,"Y","RE/MAX Results","44,993523","-93,309697","N"
4421920,"1422 6th St NE","Minneapolis","MN",55413,129875,1,1,"Sheridan",1076,,1900,3,"Garage",99,,"N","Edina Realty, Inc.","45,002598","-93,259262","N"
4436643,"1427 Morgan Ave N","Minneapolis","MN",55411,135000,6,2,"Willard - Hay",1876,5227,2002,1,"Garage",30,3/9/2013,"Y","Keller Williams Classic Realty","44,993893","-93,30481","N"
4421949,"1429 York Ave","St. Paul","MN",55106,189000,5,"3,25","Greater East Side",2234,5662,2005,2,"Garage",99,12/5/2011,"Y","Home-Mart Realty","44,969025","-93,040009","N"
4412052,"1436 6th St E","St. Paul","MN",55106,179900,3,"1,5","Dayton's Bluff",1628,4791,2013,4,"Garage",119,,"N","Luke Team Real Estate","44,960258","-93,039954","N"
4386845,"1436 Hague Ave","St. Paul","MN",55104,159900,2,1,"Merriam Park/Lexington-Hamline",1149,4791,1947,1,"Garage",137,5/12/2008,"Y","Advisor Realty Group, LLC","44,945572","-93,160873","N"
